user_id,skills,interests,analytical,creative,social,education,experience,target_careers
u75,"Leadership,Python,Machine Learning,Cloud Computing",Business,0.91,0.26,0.71,PhD,6,Data Scientist
u76,"Leadership,Data Analysis",Science,0.25,0.43,0.75,PhD,7,"Data Scientist,Financial Analyst"
u77,"UI/UX,Data Analysis",Sports,0.74,0.45,0.54,PhD,4,Research Scientist
u78,"Leadership,Machine Learning,Cloud Computing,Python","Science,Arts,Technology",0.44,0.78,0.72,Bachelor,0,"Software Engineer,Marketing Specialist"
u79,"Business Strategy,Communication",Education,0.46,0.98,0.65,High School,6,Product Manager
u80,"Creative Writing,Communication,Cloud Computing","Sports,Technology,Science",0.36,0.39,0.6,Master,1,"Data Scientist,Marketing Specialist"
u81,"Creative Writing,Communication,Excel,UI/UX,Leadership","Health,Arts,Technology",0.39,0.32,0.64,High School,8,"Research Scientist,Marketing Specialist"
u82,"Project Management,Statistics,Machine Learning,Data Analysis",Technology,0.79,0.65,0.29,PhD,8,"Data Scientist,Research Scientist,Business Analyst"
u83,"UI/UX,Project Management,Creative Writing,Cloud Computing,Business Strategy","Technology,Management,Health",0.23,0.89,0.65,Bachelor,10,"Software Engineer,Product Manager,Financial Analyst"
u84,"SQL,Machine Learning,UI/UX","Science,Management,Sports",0.53,0.85,0.54,High School,1,"Business Analyst,Marketing Specialist,Software Engineer"
u85,"Cloud Computing,Excel,SQL,Python,Business Strategy","Science,Sports,Arts",0.9,0.93,0.36,Bachelor,0,"Data Scientist,Financial Analyst"
u86,"Python,SQL,Cloud Computing,Java","Management,Science,Business",0.91,0.39,0.5,Bachelor,7,"Data Scientist,Software Engineer,Marketing Specialist"
u87,"Project Management,Cloud Computing","Sports,Arts",0.75,0.32,0.21,PhD,8,"Business Analyst,Product Manager"
u88,"Python,Excel","Education,Technology",0.21,0.93,0.78,PhD,6,UX Designer
u89,"Python,Cloud Computing,Excel,Statistics",Science,0.54,0.82,0.22,Master,2,"UX Designer,Financial Analyst,Marketing Specialist"
u90,"Machine Learning,Excel,Data Analysis,Communication,Creative Writing","Education,Technology",0.63,0.58,0.85,Bachelor,3,"Research Scientist,Data Scientist"
u91,"Project Management,UI/UX,Creative Writing,Data Analysis,Excel","Education,Management",0.8,0.86,0.66,Bachelor,10,"Research Scientist,Product Manager,Data Scientist"
u92,"Business Strategy,Python,Excel","Sports,Business,Management",0.37,0.61,0.33,PhD,4,"Financial Analyst,Product Manager"
u93,"Statistics,Communication,Machine Learning,Python","Management,Sports",0.71,0.65,0.37,High School,5,Software Engineer
u94,"SQL,Python","Education,Arts",0.4,0.23,0.89,High School,1,"Product Manager,Business Analyst,Research Scientist"
u95,"UI/UX,Excel,Cloud Computing,Machine Learning,Leadership","Technology,Arts,Management",0.98,0.36,0.51,Bachelor,8,Business Analyst
u96,"Leadership,Statistics",Education,0.76,0.55,0.32,Master,10,"UX Designer,Data Scientist"
u97,"Communication,Python",Technology,0.49,0.28,0.98,PhD,10,"Financial Analyst,Research Scientist"
u98,"Statistics,Creative Writing,UI/UX,Cloud Computing",Arts,0.25,0.62,0.91,Bachelor,1,Business Analyst
u99,"Java,Excel,UI/UX,Cloud Computing,Data Analysis","Science,Management,Education",0.28,0.52,0.43,Master,5,"Software Engineer,Product Manager,Research Scientist"
u100,"SQL,Project Management,Communication",Sports,0.4,0.83,0.27,Bachelor,0,"Financial Analyst,UX Designer"
u101,"UI/UX,Machine Learning,Cloud Computing","Business,Sports",0.43,0.87,0.77,PhD,6,"Research Scientist,Software Engineer"
u102,"Excel,Business Strategy",Education,0.59,0.31,0.27,Bachelor,6,"UX Designer,Data Scientist,Business Analyst"
u103,"Data Analysis,Project Management,Java,Excel,Statistics","Arts,Sports",0.65,0.42,0.89,High School,5,Data Scientist
u104,"Communication,Excel","Technology,Arts",0.22,0.34,0.37,PhD,3,Research Scientist
u105,"Project Management,Communication,Java",Science,0.51,0.69,0.29,High School,1,"Marketing Specialist,Financial Analyst"
u106,"Excel,Business Strategy,Machine Learning,Communication,Project Management","Health,Technology",0.7,0.22,0.6,PhD,1,"Business Analyst,Marketing Specialist"
u107,"Communication,Business Strategy,Data Analysis","Management,Sports,Arts",0.75,0.34,0.38,Bachelor,6,"Software Engineer,Marketing Specialist"
u108,"Data Analysis,Machine Learning,Communication",Health,0.22,0.67,0.25,High School,4,"Software Engineer,Data Scientist"
u109,"Excel,UI/UX,Leadership,Cloud Computing",Business,0.26,0.45,0.68,Bachelor,3,"Product Manager,Data Scientist"
u110,"Python,Communication,Cloud Computing","Business,Science",0.4,0.36,0.46,PhD,6,"Product Manager,Data Scientist"
u111,"Data Analysis,Python,Project Management,Statistics,Communication","Health,Technology,Arts",0.31,0.58,0.73,High School,9,"Product Manager,UX Designer"
u112,"Communication,Project Management","Arts,Health",0.29,0.58,0.35,Master,3,"Financial Analyst,Software Engineer"
u113,"Cloud Computing,Creative Writing,Business Strategy,Project Management,SQL","Science,Arts,Technology",0.39,0.55,0.45,High School,8,Data Scientist
u114,"Java,Machine Learning,Statistics,Project Management","Health,Sports",0.54,0.2,0.8,High School,10,Marketing Specialist
u115,"Project Management,Python,Communication",Science,0.54,0.79,0.98,Master,3,"Research Scientist,Financial Analyst,Data Scientist"
u116,"Statistics,Machine Learning,Business Strategy",Business,0.91,0.34,0.21,Bachelor,6,"Product Manager,Data Scientist,Business Analyst"
u117,"Machine Learning,Java,Cloud Computing,Project Management,SQL","Science,Business",0.32,0.87,0.45,Master,0,Product Manager
u118,"Excel,Data Analysis,SQL,Cloud Computing",Technology,0.31,0.47,0.53,Master,7,"Product Manager,Research Scientist"
u119,"SQL,Project Management,Data Analysis","Technology,Health",0.51,0.42,0.77,High School,10,"UX Designer,Data Scientist,Financial Analyst"
u120,"Creative Writing,Business Strategy,Java",Business,0.81,0.54,0.62,PhD,4,"Business Analyst,Product Manager,UX Designer"
u121,"UI/UX,Leadership,Data Analysis,Python,SQL",Technology,0.84,1.0,0.85,High School,9,"Marketing Specialist,Data Scientist,Business Analyst"
u122,"Statistics,Data Analysis",Management,0.83,0.73,0.6,Bachelor,3,Research Scientist
u123,"Project Management,Data Analysis,UI/UX","Sports,Business",0.66,0.68,0.22,High School,0,"Business Analyst,Software Engineer"
u124,"Java,Business Strategy,Python","Science,Management",0.4,0.59,0.39,Master,3,Business Analyst
u125,"Python,Excel,Communication,Java,Leadership","Science,Management",0.55,0.23,0.36,High School,1,Research Scientist
u126,"Java,Data Analysis,SQL","Technology,Arts",0.25,0.52,0.29,Master,7,"Financial Analyst,Business Analyst"
u127,"Cloud Computing,Communication,UI/UX,Excel,Leadership","Technology,Management",0.98,0.37,0.9,PhD,6,"Data Scientist,Marketing Specialist,Product Manager"
u128,"UI/UX,Cloud Computing",Arts,0.29,0.86,0.25,PhD,10,"Software Engineer,Data Scientist"
u129,"SQL,Business Strategy,Statistics,Python","Education,Health,Business",0.82,0.23,0.76,High School,2,"Business Analyst,Financial Analyst,UX Designer"
u130,"Business Strategy,Creative Writing,Machine Learning,SQL","Science,Technology,Management",0.65,0.51,0.21,Bachelor,2,"Product Manager,Data Scientist,Software Engineer"
u131,"Communication,Excel",Technology,0.97,0.59,0.43,High School,4,"Business Analyst,UX Designer"
u132,"Statistics,Java","Technology,Arts",0.66,0.63,0.51,Bachelor,5,Research Scientist
u133,"Business Strategy,Creative Writing",Health,0.42,0.46,0.27,Master,1,"Data Scientist,Business Analyst,UX Designer"
u134,"Statistics,Excel,Java,Project Management,UI/UX","Health,Education",0.53,0.68,0.72,High School,10,"Marketing Specialist,Research Scientist,Product Manager"
u135,"Java,Machine Learning,Python","Sports,Technology,Science",0.49,0.49,0.95,Master,7,"Research Scientist,Data Scientist,Product Manager"
u136,"Machine Learning,Statistics,SQL,Cloud Computing",Education,0.65,0.36,0.48,Master,8,Software Engineer
u137,"Business Strategy,Java,Leadership","Health,Management",0.93,0.34,0.91,Master,3,"Data Scientist,Research Scientist"
u138,"Communication,Data Analysis,UI/UX","Business,Health,Management",0.44,0.68,0.39,High School,8,"Software Engineer,Product Manager,Research Scientist"
u139,"UI/UX,Cloud Computing,Creative Writing",Science,0.58,0.61,0.57,High School,8,"UX Designer,Financial Analyst"
u140,"Creative Writing,Python",Management,0.55,0.68,0.98,Master,7,UX Designer
u141,"SQL,Business Strategy,Excel","Technology,Health",0.98,0.86,0.91,Master,10,"Business Analyst,Data Scientist"
u142,"Cloud Computing,Data Analysis,Creative Writing","Science,Arts,Management",0.41,0.61,0.86,PhD,3,Software Engineer
u143,"SQL,Project Management","Health,Science",0.39,0.62,0.25,Master,5,"Marketing Specialist,Business Analyst"
u144,"Creative Writing,Excel,Leadership","Management,Arts,Sports",0.97,0.94,0.88,High School,6,"Software Engineer,Business Analyst,Product Manager"
u145,"Python,Java,Business Strategy","Sports,Education",0.46,0.46,0.67,PhD,1,"Research Scientist,Financial Analyst"
u146,"Machine Learning,Business Strategy,Communication,Project Management",Science,0.33,0.34,0.81,Bachelor,7,"Research Scientist,Financial Analyst"
u147,"Machine Learning,Java,Python","Management,Technology",0.65,0.27,0.46,PhD,5,"Financial Analyst,UX Designer,Business Analyst"
u148,"Cloud Computing,Java,SQL,Creative Writing",Health,0.61,0.33,0.57,PhD,6,"Marketing Specialist,Research Scientist,Financial Analyst"
u149,"UI/UX,Business Strategy,Cloud Computing,Leadership","Science,Arts",0.61,0.52,0.55,Master,9,Data Scientist
u150,"Data Analysis,Java,SQL,Statistics,Communication",Science,0.38,0.94,0.53,Master,4,Product Manager
u151,"Leadership,Statistics,Java,Cloud Computing","Business,Science,Management",0.9,0.99,0.94,Master,9,"Research Scientist,UX Designer"
u152,"Excel,Data Analysis","Sports,Technology",0.64,0.85,0.77,Bachelor,0,Research Scientist
u153,"Java,Excel,Statistics,Python,Leadership","Technology,Sports,Arts",0.78,0.35,0.61,Master,4,"Software Engineer,Business Analyst"
u154,"Communication,SQL,Business Strategy,Project Management","Business,Sports",0.38,0.47,0.65,Bachelor,10,"Data Scientist,Business Analyst,Product Manager"
u155,"Statistics,Creative Writing,Project Management,Python",Arts,0.96,0.59,0.88,Master,2,"Product Manager,Research Scientist"
u156,"Business Strategy,Excel","Business,Arts",0.57,0.36,0.86,PhD,3,Software Engineer
u157,"Communication,Leadership,SQL,Java,Excel","Business,Technology",0.81,0.43,0.58,High School,8,Business Analyst
u158,"Cloud Computing,Creative Writing,Leadership,SQL,Statistics",Business,0.34,0.57,0.4,Master,9,Research Scientist
u159,"Cloud Computing,Data Analysis,SQL,Communication,Business Strategy",Arts,0.58,0.89,0.93,Bachelor,9,"Marketing Specialist,UX Designer,Business Analyst"
u160,"Machine Learning,Java","Sports,Health",0.52,0.96,0.87,High School,1,"Software Engineer,Research Scientist"
u161,"Excel,Machine Learning,Creative Writing",Management,0.57,0.44,0.26,Master,2,Research Scientist
u162,"Communication,Data Analysis","Business,Health,Arts",0.38,0.61,0.76,Master,3,"Product Manager,Data Scientist,Research Scientist"
u163,"Creative Writing,Communication",Arts,0.6,0.22,0.57,High School,5,"Data Scientist,Financial Analyst"
u164,"Communication,Creative Writing,Leadership","Sports,Education",0.51,0.9,0.3,PhD,10,"Software Engineer,Product Manager"
u165,"Data Analysis,Statistics,SQL,Excel",Business,0.99,0.88,0.75,Bachelor,5,"UX Designer,Business Analyst"
u166,"Python,SQL","Sports,Arts,Education",0.53,0.34,0.38,Master,9,Software Engineer
u167,"Communication,Java,SQL",Technology,0.39,0.86,0.94,High School,4,Marketing Specialist
u168,"Java,Leadership,Project Management,UI/UX,Statistics","Arts,Technology,Management",0.45,0.96,0.98,Bachelor,1,"UX Designer,Data Scientist"
u169,"Data Analysis,Excel","Arts,Health",0.51,0.34,0.99,PhD,4,"Marketing Specialist,Research Scientist,Business Analyst"
u170,"Data Analysis,UI/UX,Creative Writing",Arts,0.77,0.68,0.92,High School,3,"Marketing Specialist,Financial Analyst,Business Analyst"
u171,"Business Strategy,Leadership,Python,Cloud Computing",Health,0.92,0.59,0.6,Master,1,UX Designer
u172,"Leadership,Project Management,Creative Writing,Business Strategy,Machine Learning",Education,0.29,0.82,0.26,Bachelor,5,Financial Analyst
u173,"Creative Writing,Project Management,Statistics",Technology,0.54,0.87,0.27,PhD,7,"Business Analyst,Software Engineer"
u174,"UI/UX,Leadership,Statistics,Business Strategy,Excel","Arts,Health",0.83,0.88,0.29,Master,7,"Research Scientist,Business Analyst"
u175,"Creative Writing,Excel,Python,Leadership",Science,0.24,0.41,0.83,Bachelor,5,"Product Manager,Business Analyst"
u176,"Data Analysis,UI/UX","Education,Health,Technology",0.83,0.51,0.74,Bachelor,8,"Financial Analyst,Business Analyst"
u177,"Creative Writing,Data Analysis,Java,UI/UX,Cloud Computing","Health,Science,Arts",0.25,0.79,0.35,High School,3,"Marketing Specialist,Financial Analyst"
u178,"Python,Machine Learning,Java,Project Management","Technology,Science",0.93,0.62,0.61,High School,2,"Product Manager,UX Designer"
u179,"Data Analysis,Project Management,UI/UX,Cloud Computing","Business,Education",0.22,0.47,0.51,High School,7,Business Analyst
u180,"Java,Machine Learning,Business Strategy,Cloud Computing,Communication",Business,0.63,0.41,0.55,PhD,1,Product Manager
u181,"Creative Writing,Machine Learning,Business Strategy",Science,0.37,0.58,0.66,Bachelor,8,Business Analyst
u182,"Data Analysis,Business Strategy,Cloud Computing,SQL,Python","Technology,Science",0.3,0.88,0.3,Master,2,Software Engineer
u183,"SQL,UI/UX,Python","Education,Science,Sports",0.61,0.84,0.21,High School,9,Product Manager
u184,"Python,Creative Writing,Java,Excel","Education,Health,Science",0.51,0.73,0.91,PhD,3,"Business Analyst,UX Designer,Research Scientist"
u185,"Statistics,Creative Writing","Health,Sports,Education",0.7,0.29,0.57,PhD,0,"Product Manager,Marketing Specialist,Business Analyst"
u186,"Java,Cloud Computing","Education,Arts",0.93,0.44,0.42,Bachelor,4,Software Engineer
u187,"SQL,Data Analysis,Project Management","Arts,Education",0.4,0.22,0.83,Bachelor,8,"Marketing Specialist,Software Engineer"
u188,"Data Analysis,Statistics","Arts,Education,Sports",1.0,0.9,0.65,PhD,3,Business Analyst
u189,"Java,Python,Cloud Computing,SQL","Business,Education,Arts",0.93,0.91,0.74,Bachelor,10,"UX Designer,Software Engineer,Research Scientist"
u190,"Leadership,UI/UX,Data Analysis,Communication,Machine Learning","Business,Arts,Health",0.27,0.78,0.23,Master,7,Product Manager
u191,"Statistics,Cloud Computing,Leadership,Machine Learning",Business,0.77,0.85,0.84,High School,7,Financial Analyst
u192,"Statistics,Machine Learning,Java,Python,Cloud Computing","Technology,Health",0.46,0.42,0.55,High School,5,"Research Scientist,Product Manager,Business Analyst"
u193,"UI/UX,Project Management,Excel","Technology,Health",0.48,0.7,0.47,Bachelor,7,"Marketing Specialist,Financial Analyst"
u194,"Cloud Computing,SQL,Business Strategy,Leadership","Technology,Business,Management",0.58,0.62,0.58,PhD,10,Data Scientist
u195,"Leadership,Python,Cloud Computing,Creative Writing","Science,Health",0.86,0.7,0.28,PhD,1,UX Designer
u196,"Communication,SQL","Management,Science",0.78,0.58,0.46,High School,5,"Financial Analyst,Software Engineer,Product Manager"
u197,"Statistics,Data Analysis,Project Management","Business,Science,Technology",0.83,0.91,0.86,High School,6,"Research Scientist,Marketing Specialist"
u198,"UI/UX,Python,Excel","Education,Business",0.29,0.72,0.82,Bachelor,5,"Marketing Specialist,Software Engineer,Research Scientist"
u199,"UI/UX,Java,Creative Writing","Education,Sports,Management",0.35,0.95,0.98,PhD,10,Financial Analyst
u200,"Java,Excel",Arts,0.5,0.84,0.53,Bachelor,7,"Marketing Specialist,Data Scientist"
u201,"Java,Python,Creative Writing,SQL,Statistics","Sports,Management,Arts",0.58,0.52,0.87,Bachelor,5,Business Analyst
u202,"Business Strategy,Data Analysis,Machine Learning,SQL,Java","Science,Arts,Sports",0.64,0.85,0.74,High School,1,UX Designer
u203,"SQL,Java,Excel,Python","Business,Science",0.38,0.47,0.43,Bachelor,4,"Research Scientist,Product Manager"
u204,"Cloud Computing,Python",Business,0.37,0.23,0.23,High School,8,Software Engineer
u205,"Cloud Computing,Business Strategy,Java","Arts,Business,Management",0.95,0.23,0.32,Bachelor,9,"UX Designer,Research Scientist,Marketing Specialist"
u206,"Machine Learning,Cloud Computing,Excel,Project Management",Science,0.72,0.5,0.92,Master,2,"Software Engineer,Product Manager"
u207,"UI/UX,Excel,Business Strategy","Arts,Management,Business",0.92,0.83,0.78,Bachelor,3,"UX Designer,Product Manager"
u208,"SQL,Excel,Data Analysis","Technology,Science",0.55,0.98,0.44,Bachelor,8,"Data Scientist,Software Engineer,Product Manager"
u209,"Machine Learning,Cloud Computing,Project Management,Creative Writing","Health,Science,Arts",0.53,0.63,0.68,Master,9,"UX Designer,Data Scientist,Business Analyst"
u210,"UI/UX,Business Strategy,Cloud Computing,Statistics,Data Analysis","Arts,Health",0.94,0.59,0.62,High School,9,"Marketing Specialist,Software Engineer,Business Analyst"
u211,"Business Strategy,SQL,UI/UX,Project Management","Management,Business",0.77,0.37,0.73,Bachelor,7,"Software Engineer,Research Scientist"
u212,"Leadership,Excel",Technology,0.47,0.74,0.67,PhD,4,"Financial Analyst,UX Designer"
u213,"Leadership,Data Analysis,Business Strategy,Statistics","Management,Education,Technology",0.82,0.51,0.78,Bachelor,3,"UX Designer,Data Scientist,Marketing Specialist"
u214,"Excel,Java","Arts,Management,Business",0.67,0.28,0.42,High School,3,"Financial Analyst,Business Analyst"
u215,"Communication,Leadership,Statistics,Creative Writing,Excel","Technology,Business,Arts",0.86,0.97,0.31,Bachelor,5,"Research Scientist,Data Scientist"
u216,"Cloud Computing,Data Analysis,UI/UX,Business Strategy","Business,Arts,Education",0.75,0.84,0.31,Master,1,Research Scientist
u217,"Statistics,Communication,Java,Excel","Education,Sports",0.92,0.74,0.36,PhD,2,"Marketing Specialist,Data Scientist"
u218,"SQL,Python,Creative Writing,Machine Learning,UI/UX",Education,0.48,0.24,0.84,High School,0,"Business Analyst,Data Scientist"
u219,"Java,Cloud Computing,Communication,Statistics",Management,0.87,0.7,0.5,Bachelor,5,UX Designer
u220,"Communication,Creative Writing,Cloud Computing,Data Analysis",Technology,0.71,0.2,0.91,Master,8,"Product Manager,Financial Analyst,Data Scientist"
u221,"UI/UX,Excel,Project Management,SQL","Education,Sports",0.7,0.5,0.62,PhD,4,"Data Scientist,Product Manager,Software Engineer"
u222,"Java,UI/UX","Health,Science,Arts",0.2,0.6,0.55,PhD,3,"Research Scientist,Marketing Specialist,Product Manager"
u223,"Excel,SQL,Data Analysis,Python,Leadership","Business,Technology",0.36,0.93,0.61,High School,10,"Product Manager,Software Engineer,Financial Analyst"
u224,"Excel,Communication","Science,Technology,Business",0.99,0.98,0.55,PhD,0,"Software Engineer,Research Scientist"
